"Nazwa skrócona

    Sortuj malejąco",Ticker,Pełna nazwa,Data publikacji,Raport
MBANK,MBK,mBank SA,31-07-2025,Raport półroczny
STALEXP,STX,Stalexport Autostrady SA,31-07-2025,Raport półroczny
INTERSPPL,IPO,Intersport Polska SA,31-07-2025,Raport roczny
ASSECOSEE,ASE,Asseco SEE SA,01-08-2025,Raport półroczny
EKOEXPORT,EEX,Eko Export SA,01-08-2025,Raport roczny
ZABKA,ZAB,Zabka Group SA (Żabka),05-08-2025,Raport półroczny
ASSECOBS,ABS,Asseco BS SA,05-08-2025,Raport półroczny
ALIOR,ALR,Alior Bank SA,06-08-2025,Raport półroczny
SYNEKTIK,SNT,Synektik SA,07-08-2025,Raport za III kwartał
PEKAO,PEO,Bank Pekao SA,07-08-2025,Raport półroczny
ASBIS,ASB,ASBISc Enterprises plc,07-08-2025,Raport półroczny
SERINUS,SEN,Serinus Energy plc,07-08-2025,Raport półroczny
MEDINICE,ICE,Medinice SA,07-08-2025,Raport półroczny
MOL,MOL,MOL Rt.,08-08-2025,Raport półroczny
MENNICA,MNC,Mennica Polska SA,08-08-2025,Raport półroczny
BNPPPL,BNP,BNP Paribas Bank Polska SA,12-08-2025,Raport półroczny
ARCTIC,ATC,Arctic Paper SA,12-08-2025,Raport półroczny
PKOBP,PKO,PKO BP SA,13-08-2025,Raport półroczny
ROPCZYCE,RPC,ZM Ropczyce SA,13-08-2025,Raport półroczny
TOYA,TOA,Toya SA,13-08-2025,Raport półroczny
LIBET,LBT,Libet SA,14-08-2025,Raport półroczny
ACAUTOGAZ,ACG,AC SA,14-08-2025,Raport półroczny
BOS,BOS,BOŚ SA,14-08-2025,Raport półroczny
OPONEO.PL,OPN,Oponeo.pl SA,14-08-2025,Raport półroczny
DADELO,DAD,Dadelo SA,14-08-2025,Raport półroczny
BORYSZEW,BRS,Boryszew SA,14-08-2025,Raport półroczny
AGORA,AGO,Agora SA,14-08-2025,Raport półroczny
QUERCUS,QRS,Quercus TFI SA,14-08-2025,Raport półroczny
ONESANO,ONO,onesano SA,14-08-2025,Raport za II kwartał
REMAK,RMK,Remak-Energomontaż SA,14-08-2025,Raport półroczny
PAMAPOL,PMP,Pamapol SA,18-08-2025,Raport półroczny
KOMPUTRON,KOM,Komputronik SA,18-08-2025,Raport za I kwartał
KGHM,KGH,KGHM Polska Miedź SA,19-08-2025,Raport półroczny
PHOTON,PEN,Photon Energy NV,19-08-2025,Raport za II kwartał
NOVATURAS,NTU,Novaturas AB,19-08-2025,Raport za II kwartał
ZUE,ZUE,ZUE SA,20-08-2025,Raport półroczny
GPW,GPW,GPW SA,20-08-2025,Raport za II kwartał
WAWEL,WWL,Wawel SA,20-08-2025,Raport półroczny
NEPTIS,YAN,Neptis SA,20-08-2025,Raport za II kwartał
PCCEXOL,PCX,PCC Exol SA,20-08-2025,Raport półroczny
PCCROKITA,PCR,PCC Rokita SA,20-08-2025,Raport półroczny
PEP,PEP,Polenergia SA,20-08-2025,Raport półroczny
KINOPOL,KPL,Kino Polska TV SA,21-08-2025,Raport półroczny
IZOSTAL,IZS,Izostal SA,21-08-2025,Raport półroczny
VRG,VRG,VRG SA,21-08-2025,Raport półroczny
PKNORLEN,PKN,Orlen SA,21-08-2025,Raport półroczny
DINOPL,DNP,Dino Polska SA,21-08-2025,Raport półroczny
ENERGA,ENG,Energa SA,21-08-2025,Raport półroczny
MOBRUK,MBR,Mo-Bruk SA,21-08-2025,Raport półroczny
GRODNO,GRN,Grodno SA,21-08-2025,Raport za I kwartał
FORTE,FTE,Fabryki Mebli Forte SA,21-08-2025,Raport za I kwartał
SEKO,SEK,Seko SA,22-08-2025,Raport półroczny
BENEFIT,BFT,Benefit Systems SA,22-08-2025,Raport półroczny
MERCOR,MCR,Mercor SA,22-08-2025,Raport za I kwartał
BUDIMEX,BDX,Budimex SA,22-08-2025,Raport półroczny
SANOK,SNK,Sanok Rubber Company SA,22-08-2025,Raport półroczny
EKOEXPORT,EEX,Eko Export SA,22-08-2025,Raport za I kwartał
DOMDEV,DOM,Dom Development SA,25-08-2025,Raport półroczny
TSGAMES,TEN,Ten Square Games SA,25-08-2025,Raport półroczny
MLPGROUP,MLG,MLP Group SA,25-08-2025,Raport półroczny
MARVIPOL,MVP,Marvipol Development SA,25-08-2025,Raport półroczny
POLIMEXMS,PXM,Polimex Mostostal SA,25-08-2025,Raport półroczny
DATAWALK,DAT,DataWalk SA,25-08-2025,Raport półroczny
TEXT,TXT,Text SA,25-08-2025,Raport za I kwartał
ABPL,ABE,AB SA,26-08-2025,Raport za III kwartał
KRUK,KRU,Kruk SA,26-08-2025,Raport półroczny
MOSTALWAR,MSW,Mostostal Warszawa SA,26-08-2025,Raport półroczny
WIRTUALNA,WPL,WP Holding SA,26-08-2025,Raport półroczny
WIKANA,WIK,Wikana SA,26-08-2025,Raport półroczny
SKARBIEC,SKH,Skarbiec Holding SA,27-08-2025,Raport za IV kwartał
GOBARTO,GOB,Gobarto SA,27-08-2025,Raport półroczny
ATREM,ATR,Atrem SA,27-08-2025,Raport półroczny
ASSECOPOL,ACP,Asseco Poland SA,27-08-2025,Raport półroczny
CYFRPLSAT,CPS,Cyfrowy Polsat SA,27-08-2025,Raport półroczny
SOHODEV,SHD,Soho Development SA,28-08-2025,Raport za III kwartał
CDPROJEKT,CDR,CD Projekt SA,28-08-2025,Raport półroczny
IMCOMPANY,IMC,IMC S.A.,28-08-2025,Raport półroczny
XTB,XTB,XTB SA,28-08-2025,Raport półroczny
MIRBUD,MRB,Mirbud SA,28-08-2025,Raport półroczny
APLISENS,APN,Aplisens SA,28-08-2025,Raport półroczny
ASTARTA,AST,Astarta Holding PLC,28-08-2025,Raport półroczny
11BIT,11B,11 bit studios SA,28-08-2025,Raport półroczny
NEUCA,NEU,Neuca SA,28-08-2025,Raport półroczny
HANDLOWY,BHW,Bank Handlowy w Warszawie SA,28-08-2025,Raport półroczny
RELPOL,RLP,Relpol SA,28-08-2025,Raport półroczny
COMARCH,CMR,Comarch SA,28-08-2025,Raport półroczny
GRUPRACUJ,GPP,Grupa Pracuj SA,28-08-2025,Raport półroczny
BETACOM,BCM,Betacom SA,28-08-2025,Raport za I kwartał
GETIN,GTN,Getin Holding SA,28-08-2025,Raport półroczny
FABRITY,FAB,Fabrity SA,28-08-2025,Raport półroczny
BIOTON,BIO,Bioton SA,28-08-2025,Raport półroczny
GRENEVIA,GEA,Grenevia SA,28-08-2025,Raport roczny
PZU,PZU,PZU SA,28-08-2025,Raport półroczny
EUROCASH,EUR,Eurocash SA,28-08-2025,Raport półroczny
VOXEL,VOX,Voxel SA,28-08-2025,Raport półroczny
SESCOM,SES,Sescom SA,29-08-2025,Raport za III kwartał
PKPCARGO,PKP,PKP Cargo SA w restrukturyzacji,29-08-2025,Raport półroczny
RAWLPLUG,RWL,Rawlplug SA,29-08-2025,Raport półroczny
PHARMENA,PHR,Pharmena SA,29-08-2025,Raport półroczny
APATOR,APT,Apator SA,29-08-2025,Raport półroczny
DECORA,DCR,Decora SA,29-08-2025,Raport półroczny
CDRL,CDL,CDRL SA,29-08-2025,Raport półroczny
MIRACULUM,MIR,Miraculum SA,29-08-2025,Raport półroczny
KPPD,KPD,KPPD SA,29-08-2025,Raport półroczny
STALPROD,STP,Stalprodukt SA,29-08-2025,Raport półroczny
COMP,CMP,Comp SA,29-08-2025,Raport półroczny
ALTUS,ALI,Altus SA,29-08-2025,Raport półroczny
COGNOR,COG,Cognor Holding SA,29-08-2025,Raport półroczny
CAPITEA,CAP,Capitea SA,29-08-2025,Raport półroczny
INTERSPPL,IPO,Intersport Polska SA,29-08-2025,Raport za I kwartał
REDAN,RDN,Redan SA w likwidacji,30-08-2025,Raport półroczny
FASTFIN,FFI,Fast Finance SA w restrukturyzacji,30-08-2025,Raport za I kwartał
ADIUVO,ADV,Adiuvo Investments SA,30-08-2025,Raport półroczny
PATENTUS,PAT,Patentus SA,01-09-2025,Raport półroczny
STALPROFI,STF,Stalprofil SA,02-09-2025,Raport półroczny
SHOPER,SHO,Shoper SA,02-09-2025,Raport półroczny
GTC,GTC,GTC SA,02-09-2025,Raport półroczny
VERCOM,VRC,Vercom SA,02-09-2025,Raport półroczny
SPYROSOFT,SPR,SpyroSoft SA,04-09-2025,Raport półroczny
INTROL,INL,Introl SA,04-09-2025,Raport półroczny
ATAL,1AT,Atal SA,04-09-2025,Raport półroczny
WITTCHEN,WTN,Wittchen SA,04-09-2025,Raport półroczny
PHN,PHN,PHN SA,04-09-2025,Raport półroczny
SYGNITY,SGN,Sygnity SA,04-09-2025,Raport półroczny
PEKABEX,PBX,Pekabex SA,04-09-2025,Raport półroczny
IFIRMA,IFI,iFirma SA,05-09-2025,Raport półroczny
TESGAS,TSG,Tesgas SA,05-09-2025,Raport półroczny
IPOPEMA,IPE,Ipopema Securities SA,05-09-2025,Raport półroczny
TORPOL,TOR,Torpol SA,05-09-2025,Raport półroczny
PJPMAKRUM,PJP,PJP Makrum SA,08-09-2025,Raport półroczny
BOGDANKA,LWB,LW Bogdanka SA,08-09-2025,Raport półroczny
ENEA,ENA,Enea SA,08-09-2025,Raport półroczny
UNIBEP,UNI,Unibep SA,08-09-2025,Raport półroczny
KOMPAP,KMP,Kompap SA,09-09-2025,Raport półroczny
PGE,PGE,PGE SA,09-09-2025,Raport półroczny
KOGENERA,KGN,Kogeneracja SA,09-09-2025,Raport półroczny
ELEKTROTI,ELT,Elektrotim SA,09-09-2025,Raport półroczny
JSW,JSW,JSW  SA,09-09-2025,Raport półroczny
ORZBIALY,OBL,Orzeł Biały SA,09-09-2025,Raport półroczny
UNIMOT,UNT,Unimot SA,09-09-2025,Raport półroczny
PASSUS,PAS,Passus SA,10-09-2025,Raport półroczny
ERBUD,ERB,Erbud SA,10-09-2025,Raport półroczny
ONDE,OND,Onde SA,10-09-2025,Raport półroczny
ARTIFEX,ART,Artifex Mundi SA,10-09-2025,Raport półroczny
WOODPCKR,WPR,Woodpecker.co SA,10-09-2025,Raport półroczny
08OCTAVA,08N,Octava SA,10-09-2025,Raport półroczny
TAURONPE,TPE,Tauron PE SA,10-09-2025,Raport półroczny
POLTREG,PTG,Poltreg SA,10-09-2025,Raport półroczny
UNFOLD,UNF,Unfold.vc ASI SA,11-09-2025,Raport półroczny
SECOGROUP,SWG,Seco/Warwick SA,11-09-2025,Raport półroczny
INTERCARS,CAR,Inter Cars SA,11-09-2025,Raport półroczny
MANGATA,MGT,Mangata Holding SA,11-09-2025,Raport półroczny
MOSTALZAB,MSZ,Mostostal Zabrze SA,11-09-2025,Raport półroczny
POLWAX,PWX,Polwax SA,11-09-2025,Raport półroczny
PULAWY,ZAP,Puławy SA,11-09-2025,Raport półroczny
POLICE,PCE,Police SA,11-09-2025,Raport półroczny
GRUPAAZOTY,ATT,Grupa Azoty SA,11-09-2025,Raport półroczny
CAPTORTX,CTX,Captor Therapeutics SA,11-09-2025,Raport półroczny
ENERGOINS,ENI,Energoinstal SA,11-09-2025,Raport półroczny
NOVITA,NVT,Novita SA,12-09-2025,Raport półroczny
ULTGAMES,ULG,Ultimate Games SA,12-09-2025,Raport półroczny
DEVELIA,DVL,Develia SA,12-09-2025,Raport półroczny
CAPITAL,CPA,Capital Partners SA w likwidacji,12-09-2025,Raport półroczny
WASKO,WAS,Wasko SA,12-09-2025,Raport półroczny
NEWAG,NWG,Newag SA,12-09-2025,Raport półroczny
INPRO,INP,Inpro SA,15-09-2025,Raport półroczny
CLOUD,CLD,Cloud Technologies SA,15-09-2025,Raport półroczny
TERMOREX,TRR,Termo-Rex SA,15-09-2025,Raport półroczny
PURE,PUR,Pure Biologics SA,15-09-2025,Raport półroczny
INSTALKRK,INK,Instal Kraków SA,15-09-2025,Raport półroczny
VINDEXUS,VIN,GPM Vindexus SA,15-09-2025,Raport półroczny
SELENAFM,SEL,Selena FM SA,16-09-2025,Raport półroczny
OTLOG,OTS,OT Logistics SA,16-09-2025,Raport półroczny
BUMECH,BMC,Bumech SA,16-09-2025,Raport półroczny
ATENDE,ATD,Atende SA,16-09-2025,Raport półroczny
WINVEST,WIS,Baltic Bridge SA,16-09-2025,Raport półroczny
FMG,FMG,Wise Energy SA,16-09-2025,Raport półroczny
ARCHICOM,ARH,Archicom SA,16-09-2025,Raport półroczny
LOKUM,LKD,Lokum Deweloper SA,17-09-2025,Raport półroczny
CLNPHARMA,CLN,Celon Pharma SA,17-09-2025,Raport półroczny
DMGROUP,DMG,Dr. Miele Cosmed Group SA,17-09-2025,Raport półroczny
IMS,IMS,IMS SA,17-09-2025,Raport półroczny
SNIEZKA,SKA,Śnieżka SA,17-09-2025,Raport półroczny
DIGITREE,DTR,Digitree Group SA,17-09-2025,Raport półroczny
ALTA,AAT,Alta SA,17-09-2025,Raport półroczny
MCI,MCI,MCI Capital ASI SA,17-09-2025,Raport półroczny
RYVU,RVU,Ryvu Therapeutics SA,18-09-2025,Raport półroczny
COMPERIA,CPL,Comperia.pl SA,18-09-2025,Raport półroczny
CASPAR,CSR,Caspar AM SA,18-09-2025,Raport półroczny
ALLEGRO,ALE,Allegro.eu S.A.,18-09-2025,Raport półroczny
APSENERGY,APE,APS Energia SA,18-09-2025,Raport półroczny
MDIENERGIA,MDI,MDI Energia SA,18-09-2025,Raport półroczny
AUTOPARTN,APR,Auto Partner SA,18-09-2025,Raport półroczny
RANKPROGR,RNK,Rank Progress SA,18-09-2025,Raport półroczny
PANOVA,NVA,P.A. Nova SA,18-09-2025,Raport półroczny
HUUUGE,HUG,"Huuuge, Inc.",18-09-2025,Raport półroczny
ERG,ERG,ERG SA,18-09-2025,Raport półroczny
FERRO,FRO,Ferro SA,18-09-2025,Raport półroczny
SELVITA,SLV,Selvita SA,18-09-2025,Raport półroczny
BEST,BST,Best SA,18-09-2025,Raport półroczny
ANSWEAR,ANR,Answear.com SA,18-09-2025,Raport półroczny
FASING,FSG,Fasing SA,18-09-2025,Raport półroczny
ECHO,ECH,Echo Investment SA,18-09-2025,Raport półroczny
MOJ,MOJ,MOJ SA,18-09-2025,Raport półroczny
DIAG,DIA,Diagnostyka SA,18-09-2025,Raport półroczny
HYDROTOR,HDR,PHS Hydrotor SA,19-09-2025,Raport półroczny
DEBICA,DBC,Dębica SA,19-09-2025,Raport półroczny
PEPEES,PPS,Pepees SA,19-09-2025,Raport półroczny
CIGAMES,CIG,CI Games SE,19-09-2025,Raport półroczny
AMICA,AMC,Amica SA,19-09-2025,Raport półroczny
RAFAMET,RAF,Rafamet SA w restrukturyzacji,19-09-2025,Raport półroczny
LENA,LEN,Lena Lighting SA,19-09-2025,Raport półroczny
DROZAPOL,DPL,Drozapol-Profil SA,19-09-2025,Raport półroczny
DEKPOL,DEK,Dekpol SA,22-09-2025,Raport półroczny
ZREMB,ZRE,Zremb-Chojnice SA,22-09-2025,Raport półroczny
ODLEWNIE,ODL,Odlewnie Polskie SA,22-09-2025,Raport półroczny
CFI,CFI,CFI Holding SA,22-09-2025,Raport półroczny
VOTUM,VOT,Votum SA,23-09-2025,Raport półroczny
IBSM,IBS,Wise Finance SA,23-09-2025,Raport półroczny
EUROTEL,ETL,Eurotel SA,23-09-2025,Raport półroczny
ULMA,ULM,Ulma Construccion Polska SA,23-09-2025,Raport półroczny
IDMSA,IDM,IDM SA,23-09-2025,Raport półroczny
AIRWAY,AWM,Airway Medix SA,23-09-2025,Raport półroczny
HERKULES,HRS,Herkules SA w restrukturyzacji,24-09-2025,Raport za II kwartał
HERKULES,HRS,Herkules SA w restrukturyzacji,24-09-2025,Raport półroczny
TRAKCJA,TRK,Trakcja SA,24-09-2025,Raport półroczny
IMPERIO,IMP,Imperio ASI SA,24-09-2025,Raport półroczny
MEXPOLSKA,MEX,Mex Polska SA,24-09-2025,Raport półroczny
LARQ,LRQ,Larq SA,24-09-2025,Raport półroczny
PCFGROUP,PCF,PCF Group SA,24-09-2025,Raport półroczny
KCI,KCI,KCI SA,24-09-2025,Raport półroczny
VIVID,VVD,Vivid Games SA,24-09-2025,Raport półroczny
MURAPOL,MUR,Murapol SA,24-09-2025,Raport półroczny
BIOPLANET,BIP,Bio Planet SA,25-09-2025,Raport półroczny
CAVATINA,CAV,Cavatina Holding SA,25-09-2025,Raport półroczny
PMPG,PGM,PMPG Polskie Media SA,25-09-2025,Raport półroczny
CELTIC,CPD,CPD SA,25-09-2025,Raport półroczny
SKYLINE,SKL,Skyline Investment SA,25-09-2025,Raport półroczny
GAMFACTOR,GIF,Gaming Factory SA,25-09-2025,Raport półroczny
ENELMED,ENE,Centrum Medyczne Enel-Med SA,25-09-2025,Raport półroczny
WIELTON,WLT,Wielton SA,25-09-2025,Raport półroczny
NANOGROUP,NNG,NanoGroup SA,25-09-2025,Raport półroczny
MFO,MFO,MFO SA,25-09-2025,Raport półroczny
CREEPYJAR,CRJ,Creepy Jar SA,25-09-2025,Raport półroczny
OPTEAM,OPM,OPTeam SA,25-09-2025,Raport półroczny
BOOMBIT,BBT,BoomBit SA,25-09-2025,Raport półroczny
MAXCOM,MXC,Maxcom SA,25-09-2025,Raport półroczny
RAINBOW,RBW,Rainbow Tours SA,25-09-2025,Raport półroczny
REINO,RNC,Reino Capital SA,25-09-2025,Raport półroczny
EDINVEST,EDI,ED Invest SA,25-09-2025,Raport półroczny
LUBAWA,LBW,Lubawa SA,25-09-2025,Raport półroczny
KRAKCHEM,KCH,Krakchemia SA,25-09-2025,Raport półroczny
VIGOPHOTN,VGO,Vigo Photonics SA,25-09-2025,Raport półroczny
LPP,LPP,LPP SA,25-09-2025,Raport półroczny
KRVITAMIN,KVT,Krynica Vitamin SA,25-09-2025,Raport półroczny
MEGARON,MEG,Megaron SA,25-09-2025,Raport półroczny
CCENERGY,CCE,Clean&Carbon Energy SA,25-09-2025,Raport półroczny
BOWIM,BOW,Bowim SA,25-09-2025,Raport półroczny
GIGROUP,GIG,Gi Group Poland SA,25-09-2025,Raport półroczny
SATIS,STS,Satis Group SA,25-09-2025,Raport półroczny
XTPL,XTP,XTPL SA,25-09-2025,Raport półroczny
INC,INC,INC SA,25-09-2025,Raport półroczny
YARRL,YRL,yarrl SA,25-09-2025,Raport półroczny
SILVAIR-REGS,SVRS,Silvair Inc.,25-09-2025,Raport półroczny
AIGAMES,ALG,All in! Games SA w restrukturyzacji,26-09-2025,Raport półroczny
CORMAY,CRM,PZ Cormay SA,26-09-2025,Raport półroczny
BEDZIN,BDZ,ECB SA,26-09-2025,Raport półroczny
SUNEX,SNX,Sunex SA,26-09-2025,Raport półroczny
TRANSPOL,TRN,Trans Polonia SA,26-09-2025,Raport półroczny
MWTRADE,MWT,M.W. Trade SA,26-09-2025,Raport półroczny
MOSTALPLC,MSP,Mostostal Płock SA,26-09-2025,Raport półroczny
IZOBLOK,IZB,Izoblok SA,26-09-2025,Raport półroczny
PROCHEM,PRM,Prochem SA,26-09-2025,Raport półroczny
SONEL,SON,Sonel SA,26-09-2025,Raport półroczny
ESOTIQ,EAH,Esotiq&Henderson SA,26-09-2025,Raport półroczny
CREOTECH,CRI,Creotech Instruments SA,26-09-2025,Raport półroczny
EUCO,EUC,EuCO SA w restrukturyzacji,26-09-2025,Raport półroczny
RAEN,RAE,Raen SA,26-09-2025,Raport półroczny
HMINWEST,HMI,HM Inwest SA,26-09-2025,Raport półroczny
06MAGNA,06N,Magna Polonia SA,26-09-2025,Raport półroczny
QUANTUM,QNT,Quantum Software SA,26-09-2025,Raport półroczny
PRAGMAINK,PRI,NPL Nova SA,26-09-2025,Raport półroczny
MLSYSTEM,MLS,ML System SA,26-09-2025,Raport półroczny
NEPTIS,YAN,Neptis SA,26-09-2025,Raport półroczny
BRASTER,BRA,Braster SA,26-09-2025,Raport półroczny
BLOOBER,BLO,Bloober Team SA,28-09-2025,Raport półroczny
IMMOBILE,GKI,GK Immobile SA,29-09-2025,Raport półroczny
LENTEX,LTX,Lentex SA,29-09-2025,Raport półroczny
AILLERON,ALL,Ailleron SA,29-09-2025,Raport półroczny
ATMGRUPA,ATG,ATM Grupa SA,29-09-2025,Raport półroczny
MOVIEGAMES,MOV,Movie Games SA,29-09-2025,Raport półroczny
URTESTE,URT,Urteste SA,29-09-2025,Raport półroczny
GENOMTEC,GMT,Genomtec SA,29-09-2025,Raport półroczny
JRH,JRH,JRH ASI SA,29-09-2025,Raport półroczny
STAPORKOW,ZUK,ZUK Stąporków SA,29-09-2025,Raport półroczny
NOVAVISGR,NVG,Novavis Group SA,29-09-2025,Raport półroczny
JWWINVEST,JWW,JWW Invest SA,29-09-2025,Raport półroczny
BBIDEV,BBD,BBI Development SA,29-09-2025,Raport półroczny
MERCATOR,MRC,Mercator Medical SA,29-09-2025,Raport półroczny
MANYDEV,MAN,ManyDev Studio SE,29-09-2025,Raport półroczny
NTCAPITAL,NTC,New Tech Capital SA,29-09-2025,Raport półroczny
GREENX,GRX,GreenX Metals Ltd.,30-09-2025,Raport roczny
ATLANTIS,ATS,Atlantis SE,30-09-2025,Raport roczny
FON,FON,Fon SE,30-09-2025,Raport roczny
IFSA,IFR,Investment Friends SE,30-09-2025,Raport roczny
4MASS,4MS,4Mass SA,30-09-2025,Raport półroczny
TENDERHUT,THG,TenderHut SA,30-09-2025,Raport półroczny
MUZA,MZA,Muza SA,30-09-2025,Raport półroczny
FEERUM,FEE,Feerum SA,30-09-2025,Raport półroczny
TALEX,TLX,Talex SA,30-09-2025,Raport półroczny
EMCINSMED,EMC,EMC Instytut Medyczny SA,30-09-2025,Raport półroczny
ACTION,ACT,Action SA,30-09-2025,Raport półroczny
BIOCELTIX,BCX,Bioceltix SA,30-09-2025,Raport półroczny
PLAYWAY,PLW,PlayWay SA,30-09-2025,Raport półroczny
KGL,KGL,KGL SA,30-09-2025,Raport półroczny
AMPLI,APL,LC SA,30-09-2025,Raport półroczny
HARPER,HRP,Harper Hygienics SA,30-09-2025,Raport półroczny
PGFGROUP,PGV,PGF Polska Grupa Fotowoltaiczna SA,30-09-2025,Raport półroczny
PROTEKTOR,PRT,Protektor SA,30-09-2025,Raport półroczny
ENAP,ENP,Energoaparatura SA,30-09-2025,Raport półroczny
PBSFINANSE,PBF,PBS Finanse SA,30-09-2025,Raport półroczny
SIMFABRIC,SIM,SimFabric SA,30-09-2025,Raport półroczny
LABOPRINT,LAB,Labo Print SA,30-09-2025,Raport półroczny
MOLECURE,MOC,Molecure SA,30-09-2025,Raport półroczny
NEXITY,NXG,Nexity Global SA,30-09-2025,Raport półroczny
LSISOFT,LSI,LSI Software SA,30-09-2025,Raport półroczny
BRAND24,B24,Brand24 SA,30-09-2025,Raport półroczny
ZEPAK,ZEP,ZE PAK SA,30-09-2025,Raport półroczny
MAKARONPL,MAK,Makarony Polskie SA,30-09-2025,Raport półroczny
3RGAMES,3RG,3R Games SA,30-09-2025,Raport półroczny
ENTER,ENT,Enter Air SA,30-09-2025,Raport półroczny
MEDICALG,MDG,Medicalgorithmics SA,30-09-2025,Raport półroczny
NTTSYSTEM,NTT,NTT System SA,30-09-2025,Raport półroczny
DGA,DGA,DGA SA,30-09-2025,Raport półroczny
CZTOREBKA,CZT,Czerwona Torebka SA,30-09-2025,Raport półroczny
INTERBUD,ITB,Interbud-Lublin SA,30-09-2025,Raport półroczny
SCPFL,SCP,Scope Fluidics SA,30-09-2025,Raport półroczny
IZOLACJA,IZO,Izolacja Jarocin SA,30-09-2025,Raport półroczny
TARCZYNSKI,TAR,Tarczyński SA,30-09-2025,Raport za II kwartał
EQUNICO,EQU,Equnico SE,30-09-2025,Raport półroczny
DIGITANET,DIG,Digital Network SA,30-09-2025,Raport półroczny
GAMEOPS,GOP,Games Operators SA,30-09-2025,Raport półroczny
SFINKS,SFS,Sfinks Polska SA,30-09-2025,Raport półroczny
EKOEXPORT,EEX,Eko Export SA,30-09-2025,Raport półroczny
OTMUCHOW,OTM,ZPC Otmuchów SA,30-09-2025,Raport półroczny
TBULL,TBL,T-Bull SA,30-09-2025,Raport półroczny
RENDER,RND,Render Cube SA,30-09-2025,Raport półroczny
PTWP,PTW,PTWP SA,30-09-2025,Raport półroczny
ZAMET,ZMT,Zamet SA,30-09-2025,Raport półroczny
HOLLYWOOD,HLD,Hollywood SA,30-09-2025,Raport półroczny
COMPREMUM,CPR,Compremum SA,30-09-2025,Raport półroczny
COLUMBUS,CLC,Columbus Energy SA,30-09-2025,Raport półroczny
BIOMAXIMA,BMX,BioMaxima SA,30-09-2025,Raport półroczny
BIGCHEESE,BCS,Big Cheese Studio SA,30-09-2025,Raport półroczny
SANWIL,SNW,Sanwil Holding SA,30-09-2025,Raport półroczny
PBG,PBG,PBG SA  w restrukturyzacji w likwidacji,30-09-2025,Raport półroczny
SNTVERSE,SVE,Synthaverse SA,30-09-2025,Raport półroczny
PRIMAMODA,PMA,Prima Moda SA,30-09-2025,Raport półroczny
FASTFIN,FFI,Fast Finance SA w restrukturyzacji,30-09-2025,Raport za II kwartał
TOWERINVT,TOW,Tower Investments SA,30-09-2025,Raport półroczny
LESS,LES,Less SA,30-09-2025,Raport półroczny
STARHEDGE,SHG,Starhedge SA,30-09-2025,Raport półroczny
ASMGROUP,ASM,ASM Group SA,30-09-2025,Raport roczny
ASMGROUP,ASM,ASM Group SA,30-09-2025,Raport za I kwartał
ASMGROUP,ASM,ASM Group SA,30-09-2025,Raport półroczny
TRITON,TRI,Triton Development SA,30-09-2025,Raport półroczny
MONNARI,MON,Monnari Trade SA,30-09-2025,Raport półroczny
CCC,CCC,CCC SA,01-10-2025,Raport półroczny
CAPITAL,CPA,Capital Partners SA w likwidacji,15-10-2025,Raport za III kwartał
QUERCUS,QRS,Quercus TFI SA,20-10-2025,Raport za III kwartał
KETY,KTY,Grupa Kęty SA,22-10-2025,Raport za III kwartał
ORANGEPL,OPL,Orange Polska SA,22-10-2025,Raport za III kwartał
